Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Clean the bathroom,Prepare a sink of soapy water in the bathroom.,"['walk_executor(sink_42)', 'walk_executor(sink_231)']",False,"Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: 0.0",None
Clean the bathroom,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'walk_executo
r(sink_42)', 'scrub_executor(sink_42)']",True,1,None
cdl_dataset/dataset/Listen_to_music/g2.txt,Syntax Error,None,None,None,None
cdl_dataset/dataset/Listen_to_music/g1.txt,Syntax Error,None,None,None,None
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt,Syntax Error,None,None,None,None
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g3.txt,Syntax Error,None,None,None,None
Wash dishes with dishwasher,wash the bowls and the plates with dishwasher,"['walk_executor(kitchen_counter_230)', 'walk_executor(table_226)', 'walk_executor(dishwasher_1001)',
 'open_executor(dishwasher_1001) (Failed)']",False,"Keystate: k1 - Completion Rate: 1.0
Keystate: k2 - Completion Rate: 0.0
Action Completion Rate: No actions required",None
cdl_dataset/dataset/Change_TV_channel/g2.txt,Syntax Error,None,None,None,None
cdl_dataset/dataset/Change_TV_channel/g3.txt,Syntax Error,None,None,None,None
Make coffee,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(coffe_maker_290) (Failed)', 'walk_executor(coffe_maker_290) (Failed)', 'walk_executo
r(coffe_maker_290) (Failed)', 'walk_executor(coffe_maker_290) (Failed)', 'walk_executor(coffe_maker_
290) (Failed)']",False,"Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",None
Make coffee,make a cup of coffee using the coffee maker.,[],False,"Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",None
Cook some food,slice some chicken,"['walk_executor(kitchen_counter_230) (Failed)', 'walk_executor(stove_2065) (Failed)', 'walk_executor
(fridge_289) (Failed)', 'walk_executor(oven_295) (Failed)', 'walk_executor(microwave_297) (Failed)',
 'walk_executor(fridge_289) (Failed)', 'walk_executor(fridge_289) (Failed)', 'walk_executor(cupboard
_229) (Failed)', 'walk_executor(cupboard_229) (Failed)', 'walk_executor(toaster_292) (Failed)', 'wal
k_executor(washing_machine_2007) (Failed)', 'walk_executor(fridge_289) (Failed)', 'walk_executor(sto
ve_2065) (Failed)']",False,"Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: 0.0",None
Cook some food,"Wash all the vegetables, then put them in a pot and boil them on the stove. Then cool them in a bowl
.",[],False,"Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Keystate: k3 - Completion Rate: 0.0
Action Completion Rate: 0.0",None
Cook some food,Put vegetables in a pot and boil them on the stove.,"['walk_executor(kitchen_counter_230) (Failed)', 'walk_executor(cupboard_229) (Failed)', 'walk_execut
or(cupboard_229) (Failed)', 'walk_executor(cupboard_229) (Failed)']",False,"Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Action Completion Rate: 0.0",None
Cook some food,"Wash all the vegetables, then put them in a pot and boil them on the stove. Then store the whole pot
 in the fridge.",['walk_executor(sink_42) (Failed)'],False,"Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Keystate: k3 - Completion Rate: 0.0
Action Completion Rate: 0.0",None
Prepare breakfast,Scramble egg by the fryingpan.,"['walk_executor(kitchen_counter_230) (Failed)', 'walk_executor(coffee_table_2068) (Failed)', 'walk_e
xecutor(table_226) (Failed)', 'walk_executor(kitchen_counter_230) (Failed)', 'walk_executor(fridge_2
89) (Failed)', 'walk_executor(kitchen_counter_230) (Failed)']",False,"Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",None
Prepare breakfast,Boil egg.,"['walk_executor(kitchen_counter_230) (Failed)', 'walk_executor(kitchen_counter_230) (Failed)']",False,"Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",None
Prepare breakfast,Slice and toast bread.,"['walk_executor(kitchen_counter_230) (Failed)', 'walk_executor(kitchen_counter_230) (Failed)', 'walk
_executor(kitchen_counter_230) (Failed)']",False,"Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",None
