Write an email
I open the laptop, and launch the email application.  I click "Compose New Email".  I enter the recipient's email address in the To line, and a summary of the email in the Subject line.  I enter the content of the email in the Body field, and when complete, I click send.


[FIND] <computer> (1.321)
[SWITCHON] <computer> (1.321)
[FIND] <mouse> (1.318)
[GRAB] <mouse> (1.318)
[PUTOBJBACK] <mouse> (1.318)
[FIND] <keyboard> (1.322)
[TYPE] <keyboard> (1.322)
[GRAB] <mouse> (1.318)
[PUTOBJBACK] <mouse> (1.318)
[SWITCHOFF] <computer> (1.321)
