Work
Go to home office and work on computer.


[RUN] <home_office> (1.246)
[WALK] <computer> (1.321)
[FIND] <computer> (1.321)
[SWITCHON] <computer> (1.321)
[FIND] <chair> (1.283)
[SIT] <chair> (1.283)
[FIND] <mouse> (1.318)
[GRAB] <mouse> (1.318)
[TURNTO] <computer> (1.321)
[LOOKAT] <computer> (1.321)
[FIND] <keyboard> (1.322)
[GRAB] <keyboard> (1.322)
[TYPE] <keyboard> (1.322)
[TURNTO] <computer> (1.321)
[LOOKAT] <computer> (1.321)
[TOUCH] <mouse> (1.318)
[TYPE] <keyboard> (1.322)
[TURNTO] <computer> (1.321)
[LOOKAT] <computer> (1.321)
