Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Clean the bathroom,Prepare a sink of soapy water in the bathroom.,"['walk_executor(faucet_43)', 'open_executor(bathroom_cabinet_40)', 'walk_executor(bathroom_cabinet_4
0)', 'walk_executor(bathroom_cabinet_40)', 'walk_executor(bathroom_counter_41)', 'walk_executor(fauc
et_43)', 'walk_executor(bathroom_cabinet_40)', 'open_executor(bathroom_cabinet_40) (Failed)', 'walk_
executor(bathroom_counter_41)', 'walk_executor(bathroom_cabinet_40)', 'walk_executor(bathroom_counte
r_41)', 'walk_executor(bathroom_cabinet_40)', 'walk_executor(sink_42)', 'grab_executor(soap_2053)', 
'putin_executor(soap_2053, sink_42)', 'switchon_executor(faucet_43)']","Time consume: 112 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Clean_the_bathroom/g2.txt
Clean the bathroom,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'grab_executor(cleaning_solution_2073)', 'put_executor(cleaning_solution_
2073, sink_42)', 'wash_executor(sink_42)']","Time consume: 26 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Clean_the_bathroom/g1.txt
Listen to music,Turn on the dvd player with remote control.,"['walk_executor(couch_352)', 'grab_executor(remote_control_2052)', 'walk_executor(dvd_player_2061)',
 'switchon_executor(dvd_player_2061) (Failed)', 'plugin_executor(dvd_player_2061)', 'switchon_execut
or(dvd_player_2061)', 'switchon_executor(dvd_player_2061) (Failed)', 'switchon_executor(dvd_player_2
061) (Failed)', 'switchon_executor(dvd_player_2061) (Failed)', 'switchon_executor(dvd_player_2061) (
Failed)', 'switchon_executor(dvd_player_2061) (Failed)', 'switchon_executor(dvd_player_2061) (Failed
)', 'switchon_executor(dvd_player_2061) (Failed)', 'switchon_executor(dvd_player_2061) (Failed)', 's
witchon_executor(dvd_player_2061) (Failed)']","Time consume: 67 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Listen_to_music/g2.txt
Listen to music,Turn on the cd player.,"['walk_executor(tvstand_225)', 'plugin_executor(cd_player_2060)', 'switchon_executor(cd_player_2060)
', 'walk_executor(cd_player_2060)', 'switchon_executor(cd_player_2060) (Failed)', 'switchon_executor
(cd_player_2060) (Failed)', 'switchon_executor(cd_player_2060) (Failed)', 'plugin_executor(cd_player
_2060) (Failed)', 'switchon_executor(cd_player_2060) (Failed)', 'switchoff_executor(cd_player_2060)'
, 'switchon_executor(cd_player_2060)', 'switchon_executor(cd_player_2060) (Failed)', 'switchon_execu
tor(cd_player_2060) (Failed)', 'switchon_executor(cd_player_2060) (Failed)', 'switchon_executor(cd_p
layer_2060) (Failed)', 'walk_executor(powersocket_412)', 'walk_executor(cd_player_2060)', 'switchon_
executor(cd_player_2060) (Failed)']","Time consume: 186 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.11111111111111116
Keystate: k2 - Completion Rate: 0.33333333333333337
Action Completion Rate: No actions required",cdl_dataset/dataset/Listen_to_music/g1.txt
Wash dishes with dishwasher,Put dish soap in the dishwasher. Then wash the bowls and the plates with dishwasher.,"['walk_executor(cupboard_229)', 'walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 
'walk_executor(cupboard_229)', 'walk_executor(bathroom_1)', 'walk_executor(bathroom_cabinet_40)', 'o
pen_executor(bathroom_cabinet_40)', 'walk_executor(cupboard_229)', 'walk_executor(dishwasher_1001)',
 'walk_executor(cupboard_229)', 'walk_executor(sink_231)', 'grab_executor(soap_2054)', 'putin_execut
or(soap_2054, dishwasher_1001)', 'plugin_executor(dishwasher_1001) (Failed)', 'plugin_executor(dishw
asher_1001) (Failed)', 'switchon_executor(dishwasher_1001)', 'walk_executor(plate_1000)', 'wash_exec
utor(plate_1000)', 'walk_executor(cupboard_229)', 'walk_executor(dishwasher_1001)']","Time consume: 197 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 1.0
Keystate: k2 - Completion Rate: 0.5
Action Completion Rate: No actions required",cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt
Wash dishes with dishwasher,Wash the bowls and plates with dishwasher. And wash forks by hand.,"['walk_executor(dishwasher_1001)', 'plugin_executor(dishwasher_1001) (Failed)', 'plugin_executor(dis
hwasher_1001) (Failed)', 'open_executor(dishwasher_1001)', 'plugin_executor(dishwasher_1001) (Failed
)', 'close_executor(dishwasher_1001)', 'walk_executor(dining_room_201)', 'walk_executor(dishwasher_1
001)', 'plugin_executor(dishwasher_1001) (Failed)', 'open_executor(dishwasher_1001)', 'walk_executor
(sink_231)', 'walk_executor(plate_1000)', 'walk_executor(dishwasher_1001)', 'walk_executor(plate_100
0)', 'open_executor(sink_231) (Failed)', 'grab_executor(plate_1000)', 'open_executor(dishwasher_1001
) (Failed)', 'open_executor(dishwasher_1001) (Failed)', 'putin_executor(plate_1000, dishwasher_1001)
', 'walk_executor(kitchen_counter_230)', 'walk_executor(bathroom_1)', 'walk_executor(sink_42)', 'wal
k_executor(dining_room_201)', 'walk_executor(dishwasher_1001)', 'walk_executor(sink_231)', 'walk_exe
cutor(table_226)', 'grab_executor(bowl_2071)', 'putin_executor(bowl_2071, dishwasher_1001) (Failed)'
, 'putin_executor(bowl_2071, dishwasher_1001) (Failed)', 'walk_executor(dishwasher_1001)', 'putin_ex
ecutor(bowl_2071, dishwasher_1001)', 'grab_executor(bowl_2072) (Failed)', 'grab_executor(bowl_2072) 
(Failed)', 'grab_executor(bowl_2072) (Failed)', 'grab_executor(bowl_2072) (Failed)', 'grab_executor(
bowl_2072) (Failed)', 'grab_executor(bowl_2072) (Failed)', 'grab_executor(bowl_2072) (Failed)', 'gra
b_executor(bowl_2072) (Failed)', 'walk_executor(table_226)', 'walk_executor(fork_2080)', 'grab_execu
tor(fork_2080)', 'wash_executor(fork_2080)', 'grab_executor(bowl_2072)', 'putin_executor(bowl_2072, 
dishwasher_1001) (Failed)', 'switchon_executor(dishwasher_1001) (Failed)', 'putin_executor(bowl_2072
, dishwasher_1001) (Failed)', 'putin_executor(bowl_2072, dishwasher_1001) (Failed)', 'putin_executor
(bowl_2072, dishwasher_1001) (Failed)', 'putin_executor(bowl_2072, dishwasher_1001) (Failed)', 'walk
_executor(dishwasher_1001)']","Time consume: 353 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.8125
Action Completion Rate: 1.0",cdl_dataset/dataset/Wash_dishes_with_dishwasher/g3.txt
Wash dishes with dishwasher,wash the bowls and the plates with dishwasher,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(kitchen_counter_
230)', 'walk_executor(dishwasher_1001)', 'walk_executor(kitchen_counter_230)', 'walk_executor(dishwa
sher_1001)', 'walk_executor(bathroom_1)', 'walk_executor(dishwasher_1001)', 'walk_executor(kitchen_c
ounter_230)', 'walk_executor(dishwasher_1001)', 'walk_executor(kitchen_counter_230)', 'walk_executor
(sink_231)', 'grab_executor(plate_1000)', 'putin_executor(plate_1000, dishwasher_1001)', 'walk_execu
tor(sink_231)', 'grab_executor(soap_2054)', 'walk_executor(bathroom_1)', 'walk_executor(sink_231)', 
'walk_executor(kitchen_counter_230)', 'walk_executor(dishwasher_1001)', 'walk_executor(dining_room_2
01)', 'walk_executor(sink_231)', 'walk_executor(dishwasher_1001)', 'walk_executor(sink_231)', 'walk_
executor(kitchen_counter_230)', 'walk_executor(dishwasher_1001)', 'walk_executor(table_226)', 'grab_
executor(bowl_2071)', 'put_executor(soap_2054, bowl_2071)', 'putin_executor(bowl_2071, dishwasher_10
01) (Failed)', 'putin_executor(bowl_2071, dishwasher_1001) (Failed)', 'switchon_executor(dishwasher_
1001) (Failed)', 'put_executor(bowl_2071, dishwasher_1001) (Failed)', 'putin_executor(bowl_2071, dis
hwasher_1001) (Failed)', 'putin_executor(bowl_2071, dishwasher_1001) (Failed)', 'putin_executor(bowl
_2071, dishwasher_1001) (Failed)', 'putin_executor(bowl_2071, dishwasher_1001) (Failed)', 'putin_exe
cutor(bowl_2071, dishwasher_1001) (Failed)', 'putin_executor(bowl_2071, sink_231) (Failed)', 'putin_
executor(bowl_2071, kitchen_counter_230) (Failed)', 'putin_executor(bowl_2071, dishwasher_1001) (Fai
led)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2071, dishwasher_1001)', 'switchon_exe
cutor(dishwasher_1001)', 'switchoff_executor(dishwasher_1001)', 'close_executor(dishwasher_1001)', '
close_executor(dishwasher_1001) (Failed)', 'walk_executor(table_226)', 'walk_executor(table_226)', '
walk_executor(table_226)', 'walk_executor(table_226)']","Time consume: 346 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.5714285714285714
Keystate: k2 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt
cdl_dataset/dataset/Change_TV_channel/g2.txt,Syntax Error,None,None,None,cdl_dataset/dataset/Change_TV_channel/g2.txt
Change TV channel,"Sitting on the couch, then turn on the TV with the remote control.","['sit_executor(couch_352) (Failed)', 'sit_executor(couch_352) (Failed)', 'walk_executor(couch_352)',
 'sit_executor(couch_352)', 'grab_executor(remote_control_2052)', 'switchon_executor(television_410)
', 'switchon_executor(television_410) (Failed)', 'plugin_executor(television_410) (Failed)', 'plugin
_executor(television_410) (Failed)', 'switchon_executor(television_410) (Failed)', 'switchon_executo
r(television_410) (Failed)', 'plugin_executor(television_410) (Failed)', 'plugin_executor(television
_410) (Failed)', 'switchon_executor(remote_control_2052)', 'plugin_executor(television_410) (Failed)
', 'plugin_executor(television_410) (Failed)', 'switchon_executor(television_410) (Failed)', 'plugin
_executor(television_410) (Failed)', 'plugin_executor(television_410) (Failed)', 'plugin_executor(te
levision_410) (Failed)', 'switchon_executor(television_410) (Failed)', 'plugin_executor(television_4
10) (Failed)', 'plugin_executor(television_410) (Failed)']","Time consume: 109 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Change_TV_channel/g3.txt
Make coffee,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)', 'grab_executor(cup_2063)', 
'put_executor(cup_2063, coffe_maker_290)', 'grab_executor(cup_2063)', 'switchoff_executor(coffe_make
r_290)', 'walk_executor(fridge_289)', 'open_executor(fridge_289) (Failed)', 'open_executor(fridge_28
9) (Failed)', 'open_executor(fridge_289) (Failed)', 'open_executor(fridge_289) (Failed)', 'open_exec
utor(fridge_289) (Failed)', 'open_executor(fridge_289) (Failed)', 'open_executor(fridge_289) (Failed
)', 'put_executor(cup_2063, kitchen_counter_230)', 'grab_executor(milk_2043) (Failed)', 'open_execut
or(fridge_289) (Failed)', 'plugin_executor(fridge_289) (Failed)', 'open_executor(fridge_289) (Failed
)', 'switchon_executor(fridge_289) (Failed)', 'plugin_executor(fridge_289) (Failed)', 'open_executor
(fridge_289) (Failed)', 'grab_executor(milk_2043) (Failed)', 'open_executor(fridge_289) (Failed)']","Time consume: 172 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Make_coffee/g2.txt
Make coffee,make a cup of coffee using the coffee maker.,"['walk_executor(coffe_maker_290)', 'open_executor(coffe_maker_290)', 'grab_executor(cup_2063)', 'swi
tchon_executor(coffe_maker_290)', 'putin_executor(cup_2063, coffe_maker_290)']","Time consume: 48 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Make_coffee/g1.txt
Cook some food,slice some chicken,"['walk_executor(fridge_289)', 'grab_executor(food_chicken_2017) (Failed)', 'grab_executor(food_chick
en_2017) (Failed)', 'grab_executor(food_chicken_2017) (Failed)', 'grab_executor(food_chicken_2017) (
Failed)', 'grab_executor(food_chicken_2017) (Failed)', 'grab_executor(food_chicken_2017) (Failed)', 
'grab_executor(food_chicken_2017) (Failed)', 'grab_executor(food_chicken_2017) (Failed)', 'grab_exec
utor(food_chicken_2017) (Failed)', 'walk_executor(kitchen_counter_230)', 'grab_executor(knife_2050)'
, 'walk_executor(food_chicken_2017)', 'put_executor(food_chicken_2017, cutting_board_2051) (Failed)'
, 'put_executor(knife_2050, kitchen_counter_230)', 'grab_executor(food_chicken_2017) (Failed)', 'gra
b_executor(cutting_board_2051)', 'put_executor(cutting_board_2051, kitchen_counter_230)', 'grab_exec
utor(knife_2050)', 'put_executor(food_chicken_2017, cutting_board_2051) (Failed)', 'put_executor(foo
d_chicken_2017, cutting_board_2051) (Failed)', 'put_executor(food_chicken_2017, cutting_board_2051) 
(Failed)', 'put_executor(food_chicken_2017, cutting_board_2051) (Failed)', 'put_executor(food_chicke
n_2017, cutting_board_2051) (Failed)', 'put_executor(food_chicken_2017, cutting_board_2051) (Failed)
', 'put_executor(food_chicken_2017, cutting_board_2051) (Failed)', 'put_executor(food_chicken_2017, 
cutting_board_2051) (Failed)', 'grab_executor(food_chicken_2017) (Failed)']","Time consume: 188 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.5454545454545454
Action Completion Rate: 1.0",cdl_dataset/dataset/Cook_some_food/g2.txt
Cook some food,"Wash all the vegetables, then put them in a pot and boil them on the stove. Then cool them in a bowl
.","['walk_executor(sink_231)', 'walk_executor(cupboard_229)', 'walk_executor(cupboard_229)', 'walk_exec
utor(dining_room_201)', 'walk_executor(fridge_289)', 'grab_executor(food_vegetable_2041) (Failed)', 
'grab_executor(food_vegetable_2041) (Failed)', 'open_executor(fridge_289) (Failed)', 'open_executor(
fridge_289) (Failed)', 'walk_executor(food_vegetable_2041)', 'grab_executor(food_vegetable_2041) (Fa
iled)', 'grab_executor(food_vegetable_2041) (Failed)', 'grab_executor(food_vegetable_2041) (Failed)'
, 'grab_executor(food_vegetable_2041) (Failed)', 'wash_executor(food_vegetable_2041)', 'grab_executo
r(food_vegetable_2041) (Failed)', 'walk_executor(pot_2069)', 'putin_executor(food_vegetable_2041, po
t_2069) (Failed)', 'putin_executor(food_vegetable_2041, pot_2069) (Failed)', 'walk_executor(stove_20
65)', 'switchon_executor(stove_2065)', 'walk_executor(pot_2069)', 'putin_executor(food_vegetable_204
1, pot_2069) (Failed)', 'walk_executor(sink_231)', 'putin_executor(food_vegetable_2041, pot_2069) (F
ailed)', 'putin_executor(food_vegetable_2041, pot_2069) (Failed)', 'walk_executor(cupboard_229)', 'p
ut_executor(pot_2069, stove_2065) (Failed)', 'switchoff_executor(stove_2065) (Failed)', 'walk_execut
or(cupboard_229)', 'walk_executor(table_226)', 'putin_executor(pot_2069, stove_2065) (Failed)', 'wal
k_executor(bowl_2071)', 'grab_executor(bowl_2071)', 'put_executor(bowl_2071, kitchen_counter_230) (F
ailed)', 'put_executor(bowl_2071, table_226)', 'walk_executor(stove_2065)', 'walk_executor(pot_2069)
', 'putin_executor(food_vegetable_2041, pot_2069) (Failed)', 'walk_executor(faucet_232)', 'put_execu
tor(pot_2069, stove_2065) (Failed)', 'putin_executor(food_vegetable_2041, pot_2069) (Failed)', 'put_
executor(pot_2069, stove_2065) (Failed)', 'put_executor(pot_2069, stove_2065) (Failed)', 'putin_exec
utor(food_vegetable_2041, pot_2069) (Failed)', 'walk_executor(stove_2065)', 'walk_executor(pot_2069)
', 'putin_executor(food_vegetable_2041, pot_2069) (Failed)', 'grab_executor(pot_2069)', 'putin_execu
tor(pot_2069, stove_2065) (Failed)', 'put_executor(pot_2069, kitchen_counter_230)']","Time consume: 558 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.15384615384615385
Keystate: k2 - Completion Rate: 0.0
Keystate: k3 - Completion Rate: 0
Action Completion Rate: 0.0",cdl_dataset/dataset/Cook_some_food/g3.txt
Cook some food,Put vegetables in a pot and boil them on the stove.,"['walk_executor(cupboard_229)', 'walk_executor(fridge_289)', 'grab_executor(food_vegetable_2041) (Fa
iled)', 'open_executor(fridge_289) (Failed)', 'walk_executor(food_vegetable_2041)', 'grab_executor(f
ood_vegetable_2041) (Failed)', 'walk_executor(cupboard_229)', 'walk_executor(kitchen_counter_230)', 
'grab_executor(pot_2069)', 'walk_executor(stove_2065)', 'putin_executor(food_vegetable_2041, pot_206
9) (Failed)', 'grab_executor(food_vegetable_2041) (Failed)', 'put_executor(pot_2069, kitchen_counter
_230)', 'grab_executor(food_vegetable_2041) (Failed)', 'grab_executor(food_vegetable_2041) (Failed)'
, 'grab_executor(food_vegetable_2041) (Failed)', 'grab_executor(pot_2069)', 'put_executor(pot_2069, 
stove_2065)', 'walk_executor(sink_231)', 'walk_executor(food_vegetable_2041)', 'cut_executor(food_ve
getable_2041) (Failed)', 'walk_executor(sink_231)', 'grab_executor(sauce_2078) (Failed)', 'switchon_
executor(stove_2065)', 'walk_executor(kitchen_counter_230)', 'grab_executor(knife_2050)', 'put_execu
tor(knife_2050, kitchen_counter_230)', 'walk_executor(food_vegetable_2041)', 'grab_executor(food_veg
etable_2041) (Failed)', 'grab_executor(food_vegetable_2041) (Failed)', 'walk_executor(kitchen_counte
r_230)', 'grab_executor(kitchen_counter_230) (Failed)', 'walk_executor(fridge_289)', 'walk_executor(
kitchen_counter_230)', 'walk_executor(fridge_289)', 'putin_executor(food_vegetable_2041, pot_2069) (
Failed)', 'walk_executor(kitchen_counter_230)', 'grab_executor(knife_2050)', 'cut_executor(food_vege
table_2041) (Failed)', 'grab_executor(cutting_board_2051)', 'put_executor(cutting_board_2051, kitche
n_counter_230)', 'walk_executor(fridge_289)', 'grab_executor(food_vegetable_2041) (Failed)', 'put_ex
ecutor(knife_2050, kitchen_counter_230)', 'walk_executor(food_vegetable_2041)', 'grab_executor(food_
vegetable_2041) (Failed)', 'grab_executor(food_vegetable_2041) (Failed)']","Time consume: 510 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.3076923076923077
Keystate: k2 - Completion Rate: 0.05882352941176472
Action Completion Rate: 0.0",cdl_dataset/dataset/Cook_some_food/g1.txt
