Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Clean the bathroom,Prepare a sink of soapy water in the bathroom.,['walk_executor(bathroom_1)'],False,"Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: 0.0",None
Clean the bathroom,Clean the bathroom sink directly.,"['walk_executor(bathroom_1)', 'walk_executor(sink_42)', 'scrub_executor(sink_42)']",True,1,None
Listen to music,Turn on the dvd player with remote control.,"['walk_executor(couch_352)', 'walk_executor(remote_control_2052)', 'walk_executor(dvd_player_2061)',
 'plugin_executor(dvd_player_2061)', 'close_executor(dvd_player_2061) (Failed)', 'walk_executor(remo
te_control_2052)', 'switchon_executor(remote_control_2052)', 'walk_executor(dvd_player_2061)', 'swit
chon_executor(dvd_player_2061)']",False,"Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",None
Listen to music,Turn on the cd player.,"['walk_executor(tvstand_225)', 'walk_executor(cd_player_2060)', 'plugin_executor(cd_player_2060)', '
switchon_executor(cd_player_2060)']",False,"Keystate: k1 - Completion Rate: 0.11111111111111116
Keystate: k2 - Completion Rate: 0.33333333333333337
Action Completion Rate: No actions required",None
Wash dishes with dishwasher,Put dish soap in the dishwasher. Then wash the bowls and the plates with dishwasher.,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(kitchen_counter_
230)']",False,"Keystate: k1 - Completion Rate: 0.33333333333333337
Keystate: k2 - Completion Rate: 0.125
Action Completion Rate: No actions required",None
Wash dishes with dishwasher,Wash the bowls and plates with dishwasher. And wash forks by hand.,"['walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)',
 'walk_executor(wallshelf_234)', 'walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001) (
Failed)', 'walk_executor(cupboard_229)', 'walk_executor(sink_231)', 'walk_executor(oven_295)', 'swit
choff_executor(oven_295)', 'open_executor(oven_295)', 'walk_executor(table_226)', 'walk_executor(bow
l_2071)', 'grab_executor(bowl_2071)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2071, d
ishwasher_1001)', 'walk_executor(bowl_2072)', 'grab_executor(bowl_2072)', 'walk_executor(dishwasher_
1001)', 'putin_executor(bowl_2072, dishwasher_1001)', 'walk_executor(plate_1000)', 'grab_executor(pl
ate_1000)', 'walk_executor(dishwasher_1001)', 'putin_executor(plate_1000, dishwasher_1001)', 'walk_e
xecutor(fork_2080)', 'grab_executor(fork_2080)', 'walk_executor(sink_231)', 'putin_executor(fork_208
0, sink_231)', 'walk_executor(fork_2080)', 'wash_executor(fork_2080)', 'walk_executor(fork_2081)', '
grab_executor(fork_2081)', 'walk_executor(sink_231)', 'putin_executor(fork_2081, sink_231)', 'walk_e
xecutor(fork_2081)', 'wash_executor(fork_2081)']",False,"Keystate: k1 - Completion Rate: 0.8125
Action Completion Rate: 1.0",None
Wash dishes with dishwasher,wash the bowls and the plates with dishwasher,"['walk_executor(sink_231)', 'walk_executor(plate_1000)', 'close_executor(dishwasher_1001)']",False,"Keystate: k1 - Completion Rate: 1.0
Keystate: k2 - Completion Rate: 0.5
Action Completion Rate: No actions required",None
Change TV channel,Turn on the TV with the remote control.,"['walk_executor(couch_352)', 'walk_executor(remote_control_2052)', 'grab_executor(remote_control_205
2)', 'walk_executor(television_248)', 'switchon_executor(television_248)']",False,Action Completion Rate: 0.0,None
Change TV channel,"Sitting on the couch, then turn on the TV with the remote control.","['walk_executor(couch_352)', 'sit_executor(couch_352)', 'standup_executor(char)', 'walk_executor(tel
evision_410)', 'switchon_executor(television_410)', 'grab_executor(remote_control_2052)', 'walk_exec
utor(couch_352)', 'turnto_executor(television_410)']",False,"Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",None
Make coffee,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)']",False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: No actions required",None
Make coffee,make a cup of coffee using the coffee maker.,"['walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)']",False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: No actions required",None
Cook some food,slice some chicken,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289) (Failed)'
]",False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: 0.0",None
Cook some food,"Wash all the vegetables, then put them in a pot and boil them on the stove. Then cool them in a bowl
.",[],False,"Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Keystate: k3 - Completion Rate: 0.0
Action Completion Rate: 0.0",None
Cook some food,Put vegetables in a pot and boil them on the stove.,['walk_executor(kitchen_counter_230)'],False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Keystate: k2 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: 0.0",None
Cook some food,"Wash all the vegetables, then put them in a pot and boil them on the stove. Then store the whole pot
 in the fridge.",[],False,"Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Keystate: k3 - Completion Rate: 0.0
Action Completion Rate: 0.0",None
Prepare breakfast,Scramble egg by the fryingpan.,['walk_executor(kitchen_counter_230)'],False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: No actions required",None
Prepare breakfast,Boil egg.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229) (Failed)']",False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: No actions required",None
Prepare breakfast,Slice and toast bread.,['walk_executor(kitchen_counter_230)'],False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: No actions required",None
Prepare breakfast,"Make chicken pasta, put it in a plate.",[],False,"Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Keystate: k3 - Completion Rate: 0.0
Action Completion Rate: No actions required",None
Pet cat,Slice some chicken and give it to my cat.,['walk_executor(kitchen_counter_230)'],False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Keystate: k2 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: No actions required",None
Pet cat,"Prepare a bowl of water and put the bowl on the table in home office. Then find my cat take it to th
e table.",['walk_executor(kitchen_counter_230)'],False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Keystate: k2 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: No actions required",None
Pet cat,Find my cat and touch it,"['walk_executor(bathroom_1)', 'walk_executor(bedroom_67)', 'walk_executor(dining_room_201)', 'walk_e
xecutor(home_office_319)', 'walk_executor(home_office_319)', 'walk_executor(cat_2055)', 'touch_execu
tor(cat_2055)']",False,Action Completion Rate: 0.0,None
Pet cat,Wash my cat in a sink,"['walk_executor(sink_42)', 'walk_executor(sink_231)', 'walk_executor(sink_42)', 'walk_executor(cat_2
055)', 'touch_executor(cat_2055)']",False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: 0.0",None
Pet cat,Shower my cat in the bathtub. Use towel to dry my cat.,['walk_executor(bathtub_30)'],False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Keystate: k2 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: 0.0",None
Wash clothes,"Find the basket of clothes, put the clothes into the washing machine with some soap, and wash them.","['walk_executor(dresser_108)', 'open_executor(dresser_108) (Failed)']",False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: No actions required",None
Wash clothes,"Hand wash the jacket, then wash it by washing machine.","['walk_executor(dresser_108)', 'open_executor(dresser_108) (Failed)']",False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: 0.0",None
Wash clothes,"Find the basket of clothes, wash those clothes by washing machine.","['walk_executor(dresser_108)', 'open_executor(dresser_108) (Failed)']",False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: No actions required",None
