Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Listen to music,Turn on the dvd player with remote control.,"['walk_executor(tvstand_225)', 'walk_executor(tvstand_353)', 'walk_executor(remote_control_2052)', '
walk_executor(dvd_player_2061)', 'plugin_executor(dvd_player_2061)', 'switchon_executor(dvd_player_2
061)']",False,"Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",None
Listen to music,Turn on the cd player.,"['walk_executor(dresser_123)', 'open_executor(dresser_123)', 'walk_executor(closetdrawer_121)', 'wal
k_executor(closetdrawer_116)', 'walk_executor(closetdrawer_118)', 'walk_executor(tvstand_225)', 'wal
k_executor(cd_player_2060)', 'plugin_executor(cd_player_2060)', 'switchon_executor(cd_player_2060)']",False,"Keystate: k1 - Completion Rate: 0.11111111111111116
Keystate: k2 - Completion Rate: 0.33333333333333337
Action Completion Rate: No actions required",None
Wash dishes with dishwasher,Put dish soap in the dishwasher. Then wash the bowls and the plates with dishwasher.,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)']",False,"Keystate: k1 - Completion Rate: 0.33333333333333337
Keystate: k2 - Completion Rate: 0.125
Action Completion Rate: No actions required",None
Wash dishes with dishwasher,Wash the bowls and plates with dishwasher. And wash forks by hand.,"['walk_executor(sink_42)', 'walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001) (Failed
)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229
)', 'walk_executor(wallshelf_234)', 'walk_executor(wallshelf_235)', 'walk_executor(microwave_297)', 
'switchoff_executor(microwave_297)', 'open_executor(microwave_297)', 'walk_executor(table_226)', 'wa
lk_executor(bowl_2071)', 'grab_executor(bowl_2071)', 'walk_executor(dishwasher_1001)', 'putin_execut
or(bowl_2071, dishwasher_1001)', 'walk_executor(table_226)', 'walk_executor(bowl_2072)', 'grab_execu
tor(bowl_2072)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2072, dishwasher_1001)', 'wa
lk_executor(table_226)', 'walk_executor(tvstand_225)', 'walk_executor(tray_296)', 'walk_executor(tab
le_107)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)'
, 'walk_executor(sink_231)', 'walk_executor(plate_1000)', 'grab_executor(plate_1000)', 'walk_executo
r(dishwasher_1001)', 'putin_executor(plate_1000, dishwasher_1001)', 'close_executor(dishwasher_1001)
', 'switchon_executor(dishwasher_1001)', 'walk_executor(fork_2080)', 'grab_executor(fork_2080)', 'wa
lk_executor(sink_231)', 'putin_executor(fork_2080, sink_231)', 'walk_executor(fork_2080)', 'wash_exe
cutor(fork_2080)']",True,1,None
Wash dishes with dishwasher,wash the bowls and the plates with dishwasher,"['walk_executor(dining_room_201)', 'walk_executor(table_226)', 'walk_executor(dishwasher_1001)']",True,1,None
Change TV channel,Turn on the TV with the remote control.,"['walk_executor(tvstand_225)', 'walk_executor(wallshelf_234)', 'walk_executor(television_248)', 'wal
k_executor(tvstand_353)', 'walk_executor(remote_control_2052)', 'grab_executor(remote_control_2052)'
, 'walk_executor(television_248)', 'switchon_executor(television_248)']",False,Action Completion Rate: 0.0,None
Change TV channel,"Sitting on the couch, then turn on the TV with the remote control.","['walk_executor(couch_352)', 'sit_executor(couch_352)', 'standup_executor(char)', 'walk_executor(tel
evision_248)', 'switchon_executor(television_248) (Failed)']",False,"Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",None
Make coffee,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)', 'walk_executor(faucet_232)'
, 'switchon_executor(faucet_232)', 'switchoff_executor(faucet_232)', 'walk_executor(coffe_maker_290)
', 'switchoff_executor(coffe_maker_290)', 'open_executor(coffe_maker_290)']",False,"Keystate: k1 - Completion Rate: 0.26315789473684215
Action Completion Rate: No actions required",None
Make coffee,make a cup of coffee using the coffee maker.,"['walk_executor(coffe_maker_290)', 'open_executor(coffe_maker_290) (Failed)', 'walk_executor(cupboar
d_229)']",False,"Keystate: k1 - Completion Rate: 0.25
Action Completion Rate: No actions required",None
Cook some food,slice some chicken,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289) (Failed)', 'walk_executor(kitchen_coun
ter_230)', 'walk_executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)', 'walk_executor(cu
tting_board_2051)', 'put_executor(food_chicken_2017, cutting_board_2051)', 'walk_executor(kitchen_co
unter_230)', 'walk_executor(knife_2050)', 'grab_executor(knife_2050)', 'walk_executor(food_chicken_2
017)', 'cut_executor(food_chicken_2017)']",True,1,None
Cook some food,"Wash all the vegetables, then put them in a pot and boil them on the stove. Then cool them in a bowl
.",[],False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Keystate: k2 - Completion Rate: Keystate Evaluate Error
Keystate: k3 - Completion Rate: 0.0
Action Completion Rate: 0.0",None
Cook some food,Put vegetables in a pot and boil them on the stove.,[],False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Keystate: k2 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: 0.0",None
Cook some food,"Wash all the vegetables, then put them in a pot and boil them on the stove. Then store the whole pot
 in the fridge.",[],False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Keystate: k2 - Completion Rate: Keystate Evaluate Error
Keystate: k3 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: 0.0",None
Prepare breakfast,Scramble egg by the fryingpan.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289) (Failed)']",False,"Keystate: k1 - Completion Rate: Keystate Evaluate Error
Action Completion Rate: No actions required",None
