Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Clean the bathroom,Prepare a sink of soapy water in the bathroom.,"['walk_executor(sink_42)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_ex
ecutor(faucet_43)', 'walk_executor(soap_2053)', 'grab_executor(soap_2053)', 'walk_executor(sink_42)'
, 'putin_executor(soap_2053, sink_42)']","Time consume: 90 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Clean_the_bathroom/g2.txt
Clean the bathroom,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'walk_executor(cleaning_solution_2073)', 'grab_executor(cleaning_solution
_2073)', 'walk_executor(detergent_2084)', 'grab_executor(detergent_2084)', 'walk_executor(basket_for
_clothes_2006)', 'put_executor(cleaning_solution_2073, basket_for_clothes_2006)', 'walk_executor(sin
k_42)', 'scrub_executor(sink_42)']","Time consume: 41 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Clean_the_bathroom/g1.txt
Listen to music,Turn on the dvd player with remote control.,"['walk_executor(tvstand_353)', 'walk_executor(remote_control_2052)', 'grab_executor(remote_control_2
052)', 'walk_executor(dvd_player_2061)', 'put_executor(remote_control_2052, dvd_player_2061)', 'plug
in_executor(dvd_player_2061)', 'switchon_executor(dvd_player_2061)']","Time consume: 89 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Listen_to_music/g2.txt
Listen to music,Turn on the cd player.,"['walk_executor(desk_104)', 'walk_executor(nightstand_100)', 'open_executor(nightstand_100)', 'walk_
executor(dresser_358)', 'open_executor(dresser_358)', 'walk_executor(desk_357)', 'walk_executor(fili
ng_cabinet_399)', 'open_executor(filing_cabinet_399)', 'walk_executor(oven_295)', 'switchoff_executo
r(oven_295)', 'open_executor(oven_295)', 'walk_executor(tvstand_225)', 'walk_executor(cd_player_2060
)', 'open_executor(cd_player_2060)', 'plugin_executor(cd_player_2060)', 'grab_executor(cd_player_206
0)', 'walk_executor(powersocket_246)', 'put_executor(cd_player_2060, powersocket_246)', 'walk_execut
or(cd_player_2060)', 'close_executor(cd_player_2060)', 'switchon_executor(cd_player_2060)']","Time consume: 308 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.11111111111111116
Keystate: k2 - Completion Rate: 0.33333333333333337
Action Completion Rate: No actions required",cdl_dataset/dataset/Listen_to_music/g1.txt
Wash dishes with dishwasher,Put dish soap in the dishwasher. Then wash the bowls and the plates with dishwasher.,[],"Time consume: 64 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt
Wash dishes with dishwasher,Wash the bowls and plates with dishwasher. And wash forks by hand.,"['walk_executor(dishwasher_1001)', 'switchon_executor(dishwasher_1001)', 'walk_executor(kitchen_coun
ter_230)', 'walk_executor(tray_296)', 'walk_executor(stove_2065)', 'open_executor(stove_2065)', 'wal
k_executor(pot_2069)', 'open_executor(pot_2069)', 'walk_executor(fryingpan_2083)', 'walk_executor(cu
pboard_229)', 'open_executor(cupboard_229)', 'walk_executor(table_226)', 'walk_executor(dishwasher_1
001)', 'switchoff_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(bowl_
2071)', 'grab_executor(bowl_2071)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2071, dis
hwasher_1001)', 'walk_executor(bowl_2072)', 'grab_executor(bowl_2072)', 'walk_executor(dishwasher_10
01)', 'putin_executor(bowl_2072, dishwasher_1001)', 'close_executor(dishwasher_1001)', 'switchon_exe
cutor(dishwasher_1001)']","Time consume: 285 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.5
Action Completion Rate: 0.0",cdl_dataset/dataset/Wash_dishes_with_dishwasher/g3.txt
Wash dishes with dishwasher,wash the bowls and the plates with dishwasher,"['walk_executor(sink_42)', 'walk_executor(sink_231)', 'walk_executor(dishwasher_1001)', 'open_execut
or(dishwasher_1001)', 'walk_executor(plate_1000)', 'grab_executor(plate_1000)', 'walk_executor(dishw
asher_1001)', 'putin_executor(plate_1000, dishwasher_1001)', 'walk_executor(sink_231)', 'walk_execut
or(tray_296)', 'walk_executor(pot_2069)', 'open_executor(pot_2069)', 'walk_executor(fridge_289)', 's
witchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_executor(cupboard_229)', 'open_ex
ecutor(cupboard_229)', 'walk_executor(wallshelf_234)', 'walk_executor(table_226)', 'walk_executor(bo
wl_2071)', 'grab_executor(bowl_2071)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2071, 
dishwasher_1001)', 'walk_executor(bowl_2072)', 'grab_executor(bowl_2072)', 'walk_executor(dishwasher
_1001)', 'putin_executor(bowl_2072, dishwasher_1001)', 'close_executor(dishwasher_1001)', 'switchon_
executor(dishwasher_1001)']","Time consume: 330 seconds
Exp_helper query times: 1",1,cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt
Change TV channel,Turn on the TV with the remote control.,"['walk_executor(television_248)', 'walk_executor(tvstand_353)', 'walk_executor(remote_control_2052)'
, 'grab_executor(remote_control_2052)', 'walk_executor(television_248)', 'put_executor(remote_contro
l_2052, television_248)', 'switchon_executor(television_248)']","Time consume: 65 seconds
Exp_helper query times: 0",Action Completion Rate: 0.0,cdl_dataset/dataset/Change_TV_channel/g2.txt
Change TV channel,"Sitting on the couch, then turn on the TV with the remote control.","['walk_executor(couch_352)', 'sit_executor(couch_352)', 'standup_executor(char)', 'walk_executor(tel
evision_410)', 'switchon_executor(television_410)', 'walk_executor(television_248)', 'switchon_execu
tor(television_248)']","Time consume: 134 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Change_TV_channel/g3.txt
Make coffee,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(faucet_232)', 'switchon_executor(faucet_232)', 'switchoff_executor(faucet_232)', 'wa
lk_executor(coffe_maker_290)', 'open_executor(coffe_maker_290)', 'close_executor(coffe_maker_290)', 
'switchon_executor(coffe_maker_290)']","Time consume: 165 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Make_coffee/g2.txt
