Browse internet
Go to home office and browse the internet.


[RUN] <home_office> (1.161)
[WALK] <computer> (1.1000)
[SWITCHON] <computer> (1.1000)
[FIND] <chair> (1.1001)
[SIT] <chair> (1.1001)
[FIND] <mouse> (1.1002)
[GRAB] <mouse> (1.1002)
[TURNTO] <computer> (1.1000)
[LOOKAT] <computer> (1.1000)
[FIND] <keyboard> (1.1003)
[GRAB] <keyboard> (1.1003)
[TYPE] <keyboard> (1.1003)
[TURNTO] <computer> (1.1000)
[LOOKAT] <computer> (1.1000)
[TOUCH] <mouse> (1.1002)
[TYPE] <keyboard> (1.1003)
[TURNTO] <computer> (1.1000)
[LOOKAT] <computer> (1.1000)
[TOUCH] <mouse> (1.1002)
[TURNTO] <computer> (1.1000)
[LOOKAT] <computer> (1.1000)
