Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Clean the bathroom,Prepare a sink of soapy water in the bathroom.,"['walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_
executor(bathroom_cabinet_40)', 'open_executor(bathroom_cabinet_40)', 'walk_executor(shower_38)', 'w
alk_executor(towel_rack_34)', 'walk_executor(sink_42)', 'walk_executor(soap_2053)', 'walk_executor(s
ink_42)', 'walk_executor(sink_231)', 'walk_executor(soap_2054)', 'walk_executor(soap_2053)', 'grab_e
xecutor(soap_2053)', 'walk_executor(sink_42)', 'putin_executor(soap_2053, sink_42)']","Time consume: 169 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Clean_the_bathroom/g2.txt
Clean the bathroom,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'wash_executor(sink_42)']","Time consume: 57 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Clean_the_bathroom/g1.txt
Listen to music,Turn on the dvd player with remote control.,"['walk_executor(tvstand_225)', 'walk_executor(tvstand_353)', 'walk_executor(remote_control_2052)', '
grab_executor(remote_control_2052)', 'walk_executor(dvd_player_2061)', 'put_executor(remote_control_
2052, dvd_player_2061)', 'plugin_executor(dvd_player_2061)', 'switchon_executor(dvd_player_2061)']","Time consume: 89 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Listen_to_music/g2.txt
Listen to music,Turn on the cd player.,"['walk_executor(nightstand_100)', 'open_executor(nightstand_100)', 'walk_executor(nightstand_102)', 
'walk_executor(dresser_108)', 'open_executor(dresser_108)', 'walk_executor(closetdrawer_143)', 'walk
_executor(closetdrawer_158)', 'walk_executor(tvstand_225)', 'walk_executor(cd_player_2060)', 'plugin
_executor(cd_player_2060)', 'switchon_executor(cd_player_2060)']","Time consume: 214 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.11111111111111116
Keystate: k2 - Completion Rate: 0.33333333333333337
Action Completion Rate: No actions required",cdl_dataset/dataset/Listen_to_music/g1.txt
Wash dishes with dishwasher,Put dish soap in the dishwasher. Then wash the bowls and the plates with dishwasher.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(sink_231)']","Time consume: 167 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt
Wash dishes with dishwasher,Wash the bowls and plates with dishwasher. And wash forks by hand.,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(cupboard_229)', 
'open_executor(cupboard_229)', 'walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 's
witchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_executor(doorjamb_165)', 'walk_ex
ecutor(closetdrawer_120)', 'walk_executor(table_226)', 'walk_executor(bowl_2071)', 'grab_executor(bo
wl_2071)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2071, dishwasher_1001)', 'walk_exe
cutor(bowl_2072)', 'grab_executor(bowl_2072)', 'walk_executor(dishwasher_1001)', 'putin_executor(bow
l_2072, dishwasher_1001)', 'walk_executor(table_226)', 'walk_executor(wallshelf_235)', 'walk_executo
r(tray_296)', 'walk_executor(sink_231)', 'walk_executor(plate_1000)', 'grab_executor(plate_1000)', '
walk_executor(dishwasher_1001)', 'putin_executor(plate_1000, dishwasher_1001)', 'close_executor(dish
washer_1001)', 'switchon_executor(dishwasher_1001)', 'walk_executor(fork_2080)', 'grab_executor(fork
_2080)', 'walk_executor(sink_231)', 'putin_executor(fork_2080, sink_231)', 'walk_executor(fork_2080)
', 'wash_executor(fork_2080)']","Time consume: 300 seconds
Exp_helper query times: 1",1,cdl_dataset/dataset/Wash_dishes_with_dishwasher/g3.txt
Wash dishes with dishwasher,wash the bowls and the plates with dishwasher,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(sink_231)', 'wal
k_executor(plate_1000)', 'grab_executor(plate_1000)', 'walk_executor(dishwasher_1001)', 'putin_execu
tor(plate_1000, dishwasher_1001)', 'close_executor(dishwasher_1001)', 'switchon_executor(dishwasher_
1001)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(fridge_289)', '
switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_executor(tray_296)', 'walk_execu
tor(walllamp_28)', 'walk_executor(closetdrawer_377)', 'walk_executor(table_226)', 'walk_executor(bow
l_2071)', 'walk_executor(dishwasher_1001)', 'switchoff_executor(dishwasher_1001)', 'open_executor(di
shwasher_1001)', 'walk_executor(bowl_2071)', 'grab_executor(bowl_2071)', 'walk_executor(dishwasher_1
001)', 'putin_executor(bowl_2071, dishwasher_1001)', 'walk_executor(table_226)', 'walk_executor(bowl
_2072)', 'grab_executor(bowl_2072)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2072, di
shwasher_1001)', 'close_executor(dishwasher_1001)', 'switchon_executor(dishwasher_1001)']","Time consume: 338 seconds
Exp_helper query times: 1",1,cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt
Change TV channel,Turn on the TV with the remote control.,"['walk_executor(bedroom_67)', 'walk_executor(dining_room_201)', 'walk_executor(home_office_319)']","Time consume: 247 seconds
Exp_helper query times: 0",Action Completion Rate: 0.0,cdl_dataset/dataset/Change_TV_channel/g2.txt
Change TV channel,"Sitting on the couch, then turn on the TV with the remote control.","['walk_executor(couch_352)', 'sit_executor(couch_352)', 'standup_executor(char)', 'walk_executor(rem
ote_control_2052)', 'grab_executor(remote_control_2052)', 'walk_executor(television_410)', 'turnto_e
xecutor(television_410)', 'switchon_executor(television_410)']","Time consume: 131 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Change_TV_channel/g3.txt
Make coffee,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(coffe_maker_290)', 'open_executor(coffe_maker_290)', 'walk_executor(cupboard_229)', 
'open_executor(cupboard_229)', 'walk_executor(sink_231)', 'walk_executor(fridge_289)', 'switchoff_ex
ecutor(fridge_289)', 'open_executor(fridge_289)', 'walk_executor(drawing_174)', 'walk_executor(close
tdrawer_377)', 'walk_executor(faucet_232)', 'walk_executor(table_226)', 'walk_executor(coffee_filter
_2000)', 'grab_executor(coffee_filter_2000)', 'walk_executor(coffe_maker_290)', 'putin_executor(coff
ee_filter_2000, coffe_maker_290)', 'walk_executor(faucet_232)', 'switchon_executor(faucet_232)', 'sw
itchoff_executor(faucet_232)', 'walk_executor(coffe_maker_290)', 'close_executor(coffe_maker_290)', 
'switchon_executor(coffe_maker_290)']","Time consume: 362 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.1578947368421053
Action Completion Rate: No actions required",cdl_dataset/dataset/Make_coffee/g2.txt
Make coffee,make a cup of coffee using the coffee maker.,[],"Time consume: 80 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Make_coffee/g1.txt
Cook some food,slice some chicken,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(food_chicken_2017)', 'walk_executor(kitchen_counter_230)', 'walk_executor(food_chicken_2017)
', 'grab_executor(food_chicken_2017)', 'walk_executor(cutting_board_2051)', 'put_executor(food_chick
en_2017, cutting_board_2051)', 'walk_executor(kitchen_counter_230)', 'walk_executor(knife_2050)', 'g
rab_executor(knife_2050)', 'walk_executor(food_chicken_2017)', 'cut_executor(food_chicken_2017)']","Time consume: 129 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Cook_some_food/g2.txt
Cook some food,"Wash all the vegetables, then put them in a pot and boil them on the stove. Then cool them in a bowl
.","['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(food_vegetable_2041)', 'grab_executor(food_vegetable_2041)', 'walk_executor(sink_42)', 'puti
n_executor(food_vegetable_2041, sink_42)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)
', 'walk_executor(food_vegetable_2041)', 'wash_executor(food_vegetable_2041)', 'walk_executor(faucet
_43)', 'switchoff_executor(faucet_43)']","Time consume: 294 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.23076923076923073
Keystate: k2 - Completion Rate: 0.17647058823529416
Keystate: k3 - Completion Rate: 0.4285714285714286
Action Completion Rate: 1.0",cdl_dataset/dataset/Cook_some_food/g3.txt
