Change TV channel
After watching Animal planet I want to change channel to watch news channel so I grabbed the remote and pressed the remote button to change channel sitting back in a chair.


[WALK] <home_office> (1.179)
[WALK] <television> (1.270)
[FIND] <television> (1.270)
[SWITCHON] <television> (1.270)
[FIND] <chair> (1.227)
[SIT] <chair> (1.227)
[FIND] <remote_control> (1.1000)
[GRAB] <remote_control> (1.1000)
[TURNTO] <television> (1.270)
[WATCH] <television> (1.270)
[SWITCHOFF] <remote_control> (1.1000)
[PLUGOUT] <television> (1.270)
