Write an email
I open the laptop, and launch the email application.  I click "Compose New Email".  I enter the recipient's email address in the To line, and a summary of the email in the Subject line.  I enter the content of the email in the Body field, and when complete, I click send.


[FIND] <computer> (1.264)
[SWITCHON] <computer> (1.264)
[FIND] <mouse> (1.268)
[GRAB] <mouse> (1.268)
[PUTOBJBACK] <mouse> (1.268)
[FIND] <keyboard> (1.266)
[TYPE] <keyboard> (1.266)
[GRAB] <mouse> (1.268)
[PUTOBJBACK] <mouse> (1.268)
[SWITCHOFF] <computer> (1.264)
