Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
"['1. Wash all the vegetables.', '2. Put the washed vegetables in a pot.', '3. Boil the vegetables on
 the stove.', '4. Store the whole pot in the fridge.']",,,,,
" 
def is_vegetable_clean(vegetable:item):
    # Function to check if a vegetable is clean
    symbol is_clean=clean(vegetable)
    return is_clean

def is_vegetable_dirty(vegetable:item):
    # Function to check if a vegetable is dirty
    symbol is_dirty=dirty(vegetable)
    return is_dirty

behavior clean_vegetable(vegetable:item, sink:item):
    body:
        achieve_once inside(vegetable, sink)
        # Place the vegetable inside the sink

        if exists faucet:item: is_faucet(faucet) and close(faucet, sink):
            bind faucet: item where:
                is_faucet(faucet) and close(faucet, sink)
            achieve_once is_on(faucet)
            # If the sink has a faucet, turn it on to wash the vegetable

        wash(vegetable) # Wash the vegetable
        
        if exists faucet:item: is_faucet(faucet) and close(faucet, sink):
            bind faucet: item where:
                is_faucet(faucet) and close(faucet, sink)
            achieve_once is_off(faucet)
            # Turn off the faucet after cleaning

behavior __goal__():
    body:
        foreach vegetable: item:
            if is_food_vegetable(vegetable) and is_vegetable_dirty(vegetable):
                bind sink: item where:
                    is_sink(sink)
                clean_vegetable(vegetable, sink)
                # Clean each dirty vegetable in the sink
",,,,,['']
"['1. Wash all the vegetables.', '2. Put all the vegetables in a pot.', '3. Boil the vegetables on th
e stove.', '4. Store the whole pot in the fridge.']",,,,,
" 
def is_food_vegetable_dirty(vegetable:item):
    # Function to check if a vegetable is dirty
    symbol is_dirty=dirty(vegetable) and is_food_vegetable(vegetable)
    return is_dirty

behavior wash_vegetable(vegetable:item, sink:item):
    body:
        achieve_once inside(vegetable, sink)
        # Place the vegetable in the sink

        if exists faucet: item : is_faucet(faucet) and close(faucet, sink):
            bind faucet: item where:
                is_faucet(faucet) and close(faucet, sink)
            achieve_once is_on(faucet)
            # If a faucet is near the sink, turn it on to wash the vegetable
      
        wash(vegetable) # Wash the vegetable

        if exists faucet: item : is_faucet(faucet) and close(faucet, sink):
            bind faucet: item where:
                is_faucet(faucet) and close(faucet, sink)
            achieve_once is_off(faucet)
            # If a faucet was turned on, turn it off after washing

behavior __goal__():
    body:
        bind sink: item where:
            is_sink(sink)
        # Select a sink available in the scene

        foreach vegetable: item:
            if is_food_vegetable_dirty(vegetable):
                wash_vegetable(vegetable, sink)
                # Wash each dirty vegetable in the sink
",,,,,['']
"['1. Wash all the vegetables.', '2. Put the washed vegetables in a pot.', '3. Boil the vegetables on
 the stove.', '4. Store the whole pot in the fridge.']",,,,,
"behavior wash_vegetable(vegetable:item):
    body:
        wash(vegetable)

behavior __goal__():
    body:
        foreach vegetable: item:
            if is_food_vegetable(vegetable) and dirty(vegetable):
                wash_vegetable(vegetable)",,,,,['']
"['1. Wash all the vegetables.', '2. Boil the vegetables in a pot on the stove.', '3. Store the pot w
ith boiled vegetables in the fridge.']",,,,,
"plain
behavior wash_vegetables(vegetable: item):
    body:
        wash(vegetable)
        
behavior __goal__():
    body:
        foreach vegetable: item:
            if is_food_vegetable(vegetable) and dirty(vegetable):
                wash_vegetables(vegetable)
","Unexpected token Token('BASIC_TYPENAME', 'plain') at line 2685, column 1.
Expected one of: 
	* GENERATOR
	* $END
	* DOMAIN
	* GOAL
	* DEF
	* CONTROLLER
	* TYPEDEF
	* IMPORT
	* _NEWLINE
	* INIT
	* OBJECTS
	* BEHAVIOR
	* UNDIRECTED_GENERATOR
	* _PRAGMA_KEYWORD
	* FEATURE
	* ACTION
Previous tokens: [Token('_NEWLINE', '\n    \n\n#exp_behavior_end\n\n#behaviors_from_library\n\n#beha
viors_from_library_end\n\n#goal_representation\n')]
",,,,
"plaintext
behavior wash_vegetables(vegetable: item):
    body:
        wash(vegetable)
        
behavior __goal__():
    body:
        foreach vegetable: item:
            if is_food_vegetable(vegetable) and dirty(vegetable):
                wash_vegetables(vegetable)
","Unexpected token Token('BASIC_TYPENAME', 'plaintext') at line 2647, column 1.
Expected one of: 
	* GENERATOR
	* $END
	* DOMAIN
	* GOAL
	* DEF
	* CONTROLLER
	* TYPEDEF
	* IMPORT
	* _NEWLINE
	* INIT
	* OBJECTS
	* BEHAVIOR
	* UNDIRECTED_GENERATOR
	* _PRAGMA_KEYWORD
	* FEATURE
	* ACTION
Previous tokens: [Token('_NEWLINE', '\n    \n\n#exp_behavior_end\n\n#behaviors_from_library\n\n#beha
viors_from_library_end\n\n#goal_representation\n')]
",,,,
"plaintext
behavior wash_vegetables(vegetable: item):
    body:
        wash(vegetable)

behavior __goal__():
    body:
        foreach vegetable: item:
            if is_food_vegetable(vegetable) and dirty(vegetable):
                wash_vegetables(vegetable)
","Unexpected token Token('BASIC_TYPENAME', 'plaintext') at line 2837, column 1.
Expected one of: 
	* GENERATOR
	* $END
	* DOMAIN
	* GOAL
	* DEF
	* CONTROLLER
	* TYPEDEF
	* IMPORT
	* _NEWLINE
	* INIT
	* OBJECTS
	* BEHAVIOR
	* UNDIRECTED_GENERATOR
	* _PRAGMA_KEYWORD
	* FEATURE
	* ACTION
Previous tokens: [Token('_NEWLINE', '\n    \n\n#exp_behavior_end\n\n#behaviors_from_library\n\n#beha
viors_from_library_end\n\n#goal_representation\n')]
",,,,
